"properties.STATE","time_period","avg_NVI","n_districts"
"BIHAR","December",0.206578947368421,38
"BIHAR","February",0.0263636363636364,22
"BIHAR","January",0.515526315789474,38
"CHANDIGARH (UT)","December",0.1,1
"CHANDIGARH (UT)","February",0.02,1
"CHANDIGARH (UT)","January",0.38,1
"CHANDIGARH (UT)","March",0.01,1
"CHHATTISGARH","December",0.01,1
"CHHATTISGARH","January",0.0103703703703704,27
"GUJARAT","December",0.0495833333333333,24
"GUJARAT","February",0.0515,20
"GUJARAT","January",0.0640909090909091,22
"GUJARAT","March",0.0104166666666667,24
"HARYANA","December",0.172727272727273,22
"HARYANA","February",0.0322727272727273,22
"HARYANA","January",0.260909090909091,22
"HARYANA","March",0.01,22
"HIMACHAL PRADESH","December",0.0641666666666667,12
"HIMACHAL PRADESH","February",0.0583333333333333,12
"HIMACHAL PRADESH","January",0.185,12
"HIMACHAL PRADESH","March",0.0308333333333333,12
"JAMMU AND KASHMIR (UT)","December",0.0886363636363636,22
"JAMMU AND KASHMIR (UT)","February",0.0327272727272727,22
"JAMMU AND KASHMIR (UT)","January",0.303181818181818,22
"JAMMU AND KASHMIR (UT)","March",0.0204545454545455,22
"JHARKHAND","December",0.05625,24
"JHARKHAND","February",0.033,10
"JHARKHAND","January",0.260833333333333,24
"KARNATAKA","February",0.02,2
"LADAKH (UT)","December",0.08,2
"LADAKH (UT)","February",0.02,2
"LADAKH (UT)","January",0.17,2
"LADAKH (UT)","March",0.01,2
"MADHYA PRADESH","December",0.0145098039215686,51
"MADHYA PRADESH","February",0.0127450980392157,51
"MADHYA PRADESH","January",0.166666666666667,51
"MADHYA PRADESH","March",0.01,33
"MAHARASHTRA","December",0.015,28
"MAHARASHTRA","February",0.0196,25
"MAHARASHTRA","January",0.0336,25
"MAHARASHTRA","March",0.01,4
"NCT OF DELHI (UT)","December",0.132727272727273,11
"NCT OF DELHI (UT)","February",0.0309090909090909,11
"NCT OF DELHI (UT)","January",0.160909090909091,11
"NCT OF DELHI (UT)","March",0.01,11
"ODISHA","January",0.01,16
"PUNJAB","December",0.191818181818182,22
"PUNJAB","February",0.0454545454545455,22
"PUNJAB","January",0.316818181818182,22
"PUNJAB","March",0.01,22
"RAJASTHAN","December",0.0587878787878788,33
"RAJASTHAN","February",0.252424242424242,33
"RAJASTHAN","January",0.357272727272727,33
"RAJASTHAN","March",0.0139393939393939,33
"SIKKIM","December",0.025,4
"SIKKIM","January",0.0275,4
"TELANGANA","December",0.0133333333333333,3
"TELANGANA","February",0.0335483870967742,31
"TELANGANA","January",0.0303225806451613,31
"UTTAR PRADESH","December",0.238133333333333,75
"UTTAR PRADESH","February",0.0153333333333333,75
"UTTAR PRADESH","January",0.8628,75
"UTTAR PRADESH","March",0.01,35
"UTTARAKHAND","December",0.0207692307692308,13
"UTTARAKHAND","February",0.02,13
"UTTARAKHAND","January",0.164615384615385,13
"UTTARAKHAND","March",0.01,13
"WEST BENGAL","December",0.0282608695652174,23
"WEST BENGAL","January",0.0682608695652174,23
