"properties.STATE","time_period","avg_NVI","n_districts"
"ANDHRA PRADESH","April",0.769230769230769,13
"ANDHRA PRADESH","June",0.885384615384615,13
"ANDHRA PRADESH","May",0.864615384615385,13
"ARUNACHAL PRADESH","May",0.02,20
"ASSAM","April",0.01,13
"ASSAM","June",0.01,5
"ASSAM","May",0.0224242424242424,33
"BIHAR","April",0.0528571428571429,7
"BIHAR","July",0.0742105263157895,38
"BIHAR","June",0.0742105263157895,38
"BIHAR","May",0.246052631578947,38
"CHANDIGARH (UT)","July",0.05,1
"CHANDIGARH (UT)","June",0.05,1
"CHANDIGARH (UT)","May",0.03,1
"CHHATTISGARH","July",0.0159259259259259,27
"CHHATTISGARH","June",0.0159259259259259,27
"CHHATTISGARH","May",0.0159259259259259,27
"GOA","July",0.02,2
"GOA","June",0.02,2
"GOA","May",0.025,2
"GUJARAT","April",0.0324242424242424,33
"GUJARAT","July",0.04,33
"GUJARAT","June",0.04,33
"GUJARAT","May",0.191515151515151,33
"HARYANA","April",0.01,22
"HARYANA","July",0.0431818181818182,22
"HARYANA","June",0.0431818181818182,22
"HARYANA","May",0.0727272727272727,22
"HIMACHAL PRADESH","July",0.0266666666666667,12
"HIMACHAL PRADESH","June",0.141666666666667,12
"JAMMU AND KASHMIR (UT)","May",0.02,11
"JHARKHAND","April",0.0329166666666667,24
"JHARKHAND","July",0.0379166666666667,24
"JHARKHAND","June",0.0379166666666667,24
"JHARKHAND","May",0.0629166666666667,24
"KARNATAKA","April",0.0133333333333333,12
"KARNATAKA","June",0.0303333333333333,30
"KARNATAKA","May",0.0283333333333333,30
"KERALA","April",0.015,14
"KERALA","June",0.015,14
"KERALA","May",0.015,14
"MADHYA PRADESH","April",0.021025641025641,39
"MADHYA PRADESH","July",0.136862745098039,51
"MADHYA PRADESH","June",0.136862745098039,51
"MADHYA PRADESH","May",0.135882352941176,51
"MAHARASHTRA","April",0.0268571428571429,35
"MAHARASHTRA","July",0.058,35
"MAHARASHTRA","June",0.058,35
"MAHARASHTRA","May",0.0808571428571428,35
"MEGHALAYA","April",0.01,2
"NCT OF DELHI (UT)","April",0.0254545454545455,11
"NCT OF DELHI (UT)","July",0.0209090909090909,11
"NCT OF DELHI (UT)","June",0.06,11
"NCT OF DELHI (UT)","May",0.0490909090909091,11
"ODISHA","April",0.163333333333333,30
"ODISHA","June",0.279,30
"ODISHA","May",0.718666666666667,30
"PUNJAB","April",0.0295238095238095,21
"PUNJAB","July",0.169090909090909,22
"PUNJAB","June",0.154090909090909,22
"PUNJAB","May",0.193636363636364,22
"RAJASTHAN","April",0.416060606060606,33
"RAJASTHAN","July",0.516666666666667,33
"RAJASTHAN","June",0.504848484848485,33
"RAJASTHAN","May",0.488181818181818,33
"TAMIL NADU","June",0.02375,32
"TAMIL NADU","May",0.0409375,32
"TELANGANA","April",0.285806451612903,31
"TELANGANA","July",0.0625806451612903,31
"TELANGANA","June",0.0625806451612903,31
"TELANGANA","May",0.213870967741935,31
"UTTAR PRADESH","April",0.0116,25
"UTTAR PRADESH","July",0.094,75
"UTTAR PRADESH","June",0.094,75
"UTTAR PRADESH","May",0.110133333333333,75
"UTTARAKHAND","April",0.01,7
"WEST BENGAL","April",0.03,14
"WEST BENGAL","July",0.0643478260869565,23
"WEST BENGAL","June",0.0621739130434783,23
"WEST BENGAL","May",0.136086956521739,23
