"properties.STATE","time_period","avg_NVI","n_districts"
"ANDHRA PRADESH","April",0.0284615384615385,13
"ANDHRA PRADESH","August",0.005,2
"ANDHRA PRADESH","February",0.0125,4
"ANDHRA PRADESH","July",0.01,1
"ANDHRA PRADESH","June",0.006,5
"ANDHRA PRADESH","May",0.012,10
"ANDHRA PRADESH","October",0.015,2
"ANDHRA PRADESH","September",0.0133333333333333,6
"ASSAM","April",0.0233333333333333,9
"ASSAM","August",0.00909090909090909,11
"ASSAM","February",0,1
"ASSAM","July",0.016,5
"ASSAM","June",0.00444444444444444,9
"ASSAM","March",0.382857142857143,7
"ASSAM","May",0.00833333333333333,12
"ASSAM","October",0.0142857142857143,7
"ASSAM","September",0.01,7
"BIHAR","April",0.00428571428571429,7
"BIHAR","August",0.00476190476190476,21
"BIHAR","February",0,1
"BIHAR","July",0.005,28
"BIHAR","June",0.00541666666666667,24
"BIHAR","March",0.00307692307692308,13
"BIHAR","May",0.00611111111111111,18
"BIHAR","October",0.00666666666666667,3
"BIHAR","September",0.00461538461538462,13
"CHANDIGARH (UT)","April",0,1
"CHANDIGARH (UT)","March",0,1
"CHANDIGARH (UT)","May",0,1
"CHHATTISGARH","April",0.00357142857142857,14
"CHHATTISGARH","August",0.00142857142857143,14
"CHHATTISGARH","February",0,3
"CHHATTISGARH","July",0.003125,16
"CHHATTISGARH","June",0.0125,20
"CHHATTISGARH","March",0.00222222222222222,9
"CHHATTISGARH","May",0.00333333333333333,12
"CHHATTISGARH","October",0.00571428571428571,7
"CHHATTISGARH","September",0.00285714285714286,14
"GOA","March",0.01,2
"GUJARAT","April",0.01,1
"GUJARAT","August",0.205757575757576,33
"GUJARAT","June",0.01,14
"GUJARAT","March",0.01,4
"GUJARAT","May",0.015,2
"GUJARAT","September",0.02,4
"HARYANA","April",0.006,5
"HARYANA","August",0,2
"HARYANA","February",0,2
"HARYANA","July",0.005,2
"HARYANA","June",0.00428571428571429,7
"HARYANA","March",0.01,2
"HARYANA","May",0.00761904761904762,21
"HARYANA","October",0,1
"HIMACHAL PRADESH","April",0.002,5
"HIMACHAL PRADESH","August",0.0075,4
"HIMACHAL PRADESH","February",0.00333333333333333,3
"HIMACHAL PRADESH","July",0.00666666666666667,3
"HIMACHAL PRADESH","June",0.002,5
"HIMACHAL PRADESH","March",0.00636363636363636,11
"HIMACHAL PRADESH","May",0.006,5
"HIMACHAL PRADESH","October",0,1
"HIMACHAL PRADESH","September",0.00166666666666667,6
"JAMMU AND KASHMIR (UT)","April",0.006,5
"JAMMU AND KASHMIR (UT)","July",0.01,2
"JAMMU AND KASHMIR (UT)","June",0.0025,4
"JAMMU AND KASHMIR (UT)","March",0.005,2
"JAMMU AND KASHMIR (UT)","May",0.00625,8
"JAMMU AND KASHMIR (UT)","October",0.01,1
"JHARKHAND","April",0.00214285714285714,14
"JHARKHAND","August",0.00416666666666667,12
"JHARKHAND","February",0,2
"JHARKHAND","July",0.00411764705882353,17
"JHARKHAND","June",0.00263157894736842,19
"JHARKHAND","March",0.00125,8
"JHARKHAND","May",0.00333333333333333,12
"JHARKHAND","October",0.0025,4
"JHARKHAND","September",0.00428571428571429,7
"KARNATAKA","April",0.0331034482758621,29
"KARNATAKA","August",0.015,6
"KARNATAKA","February",0.0133333333333333,3
"KARNATAKA","July",0.0133333333333333,6
"KARNATAKA","June",0.0125,20
"KARNATAKA","March",0.0131578947368421,19
"KARNATAKA","May",0.0293103448275862,29
"KARNATAKA","October",0.0152631578947368,19
"KARNATAKA","September",0.02,14
"KERALA","April",0.0542857142857143,14
"KERALA","August",0.04,2
"KERALA","February",0.0175,4
"KERALA","July",0.03,2
"KERALA","June",0.0144444444444444,9
"KERALA","March",0.0522222222222222,9
"KERALA","May",0.0784615384615385,13
"KERALA","October",0.0335714285714286,14
"KERALA","September",0.0416666666666667,6
"MADHYA PRADESH","April",0.00473684210526316,19
"MADHYA PRADESH","August",0.00526315789473684,19
"MADHYA PRADESH","February",0.0032258064516129,31
